location_name,Location_Category_Description,LATITUDE,LONGITUDE
P.S. 001 The Bergen,Elementary,40.648959,-74.01142
Parkside Preparatory Academy,Junior High-Intermediate-Middle,40.656423,-73.951575
P.S. 003 The Bedford Village,Elementary,40.682311,-73.955219
P.S. K004,Elementary,40.6585,-73.879276
P.S. 005 Dr. Ronald McNair,Elementary,40.685241,-73.92197
Norma Adams Clemons Academy,Elementary,40.648973,-73.956279
P.S. 007 Abraham Lincoln,Elementary,40.689213,-73.872983
P.S. 008 Robert Fulton,K-8,40.700709,-73.992841
P.S. 009 Teunis G. Bergen,Elementary,40.678554,-73.966333
"Magnet School of Math, Science and Design Technolo",Elementary,40.660912,-73.985946
P.S. 011 Purvis J. Behan,Elementary,40.685896,-73.96589
Dr. Jacqueline Peek-Davis School,Elementary,40.673124,-73.920095
P.S. 013 Roberto Clemente,Elementary,40.664067,-73.893328
J.H.S. 014 Shell Bank,Junior High-Intermediate-Middle,40.593232,-73.938107
PS 314 Luis Munoz Marin,Elementary,40.6422,-74.019
P.S. 015 Patrick F. Daly,Elementary,40.677085,-74.011864
P.S. 016 Leonard Dunkly,Elementary,40.706069,-73.962049
P.S. 017 Henry D. Woodworth,Elementary,40.715268,-73.9573
P.S. 018 Edward Bush,Elementary,40.71088,-73.946695
P.S. 019 Roberto Clemente,Elementary,40.710107,-73.954678
P.S. 020 Clinton Hill,Elementary,40.690742,-73.970896
P.S. 021 Crispus Attucks,Elementary,40.68035,-73.926673
P.S. 022,Elementary,40.6771,-73.960093
P.S. 023 Carter G. Woodson,Elementary,40.69447,-73.947256
P.S. 024,Elementary,40.652832,-74.004533
P.S. 025 Eubie Blake School,Elementary,40.691472,-73.940749
P.S. 026 Jesse Owens,Elementary,40.6921,-73.9317
P.S. 026 Jesse Owens,Elementary,40.6921,-73.9317
Agnes Y. Humphrey School for Leadership,K-12 all grades,40.677914,-74.005151
P.S. 028 The Warren Prep Academy,Elementary,40.680239,-73.921099
P.S. 029 John M. Harrigan,Elementary,40.686843,-73.997447
P.S./I.S. 30 Mary White Ovington,K-8,40.633598,-74.02395
P.S. 031 Samuel F. Dupont,Elementary,40.72697,-73.954139
P.S. 032 Samuel Mills Sprole,Elementary,40.680159,-73.991141
JHS 033 Mark Hopkins,Junior High-Intermediate-Middle,40.6971,-73.9466
P.S. 034 Oliver H. Perry,Elementary,40.726378,-73.949756
